,0,1,2,3
0,S.No,State/Union Territory,Capital,State Area (sq km)
1,1,Andaman and Nicobar Islands,Port Blair,8249
2,2,Andhra Pradesh,Amaravati,160205
3,3,Arunachal Pradesh,Itanagar,83743
4,4,Assam,Dispur,78550
5,5,Bihar,Patna,99200
6,6,Chandigarh,Chandigarh,114
7,7,Chhattisgarh,Raipur,135194
8,8,Dadra and Nagar Haveli,Silvassa,491
9,9,Daman and Diu,Daman,112
10,10,National Capital Territory of Delhi,Delhi,11297
11,11,Goa,Panaji,3702
12,12,Gujarat,Gandhinagar,196024
13,13,Haryana,Chandigarh,44212
14,14,Himachal Pradesh,Shimla,55673
15,15,Jammu and Kashmir,Srinagar (S) and Jammu(W),222236
16,16,Jharkhand,Ranchi,74677
17,17,Karnataka,Bengaluru,191791
18,18,Kerala,Thiruvananthapuram,38863
19,19,Lakshadweep,Kavaratti,32
20,20,Madhya Pradesh,Bhopal,308252
21,21,Maharashtra,Mumbai,307713
22,22,Manipur,Imphal,22347
23,23,Meghalaya,Shillong,22720
24,24,Mizoram,Aizawl,21081
25,25,Nagaland,Kohima,16579
26,26,Orissa,Bhubaneswar,155820
27,27,Puducherry,Puducherry,479
28,28,Punjab,Chandigarh,50362
29,29,Rajasthan,Jaipur,342269
30,30,Sikkim,Gangtok,7096
31,31,Tamil Nadu,Chennai,130058
32,32,Telangana,Hyderabad,114840
33,33,Tripura,Agartala,10491
34,34,Uttar Pradesh,Lucknow,243286
35,35,Uttarakhand,Dehradun,53483
36,36,West Bengal,Kolkata,88752
